"","Planner Group code","Satindex"
"755","611",2
"756","611",4
"757","612",4
"758","612",5
"759","612",2.71428571428571
"760","612",3.42857142857143
"761","61A",5
"762","61A",3.57142857142857
"763","61A",5
"764","621",3
"765","621",4
"766","621",5
"767","621",4
"768","621",4
"769","621",5
"770","622",2.71428571428571
"771","622",5
"772","622",3.57142857142857
"773","622",5
"774","622",3.71428571428571
"775","622",5
"776","622",2.85714285714286
"777","62A",4
"778","62A",5
"779","62A",3.14285714285714
"780","62A",1
"781","62A",3.57142857142857
"782","631",2.42857142857143
"783","631",5
"784","631",4
"785","631",4
"786","632",3.14285714285714
"787","632",4
"788","632",4
"789","632",5
"790","632",2.28571428571429
"791","632",4
"792","651",4.28571428571429
"793","651",2.85714285714286
"794","651",4
"795","651",5
"796","651",4
"797","652",4
"798","652",5
"799","652",4
"800","811",3.14285714285714
"801","811",5
"802","811",4
"803","81A",4
"804","81A",5
"805","81A",2.71428571428571
"806","81B",3.14285714285714
"807","81B",2.71428571428571
"808","81B",4
"809","821",5
"810","821",4
"811","822",4
"812","822",3
"813","822",2.85714285714286
"814","822",4
"815","822",5
"816","82B",2.71428571428571
"817","82B",5
"818","82B",4
"819","831",4
"820","832",2.57142857142857
"821","842",2.14285714285714
"822","842",4.14285714285714
"823","84A",3.85714285714286
"824","84B",5
"825","84K",4.71428571428571
"826","84K",3.57142857142857
"827","84K",5
"828","84K",1
"829","851",4
"830","852",3.57142857142857
"831","852",5
"832","85A",5
"833","85A",3.85714285714286
"834","85A",3.57142857142857
"835","85B",4.42857142857143
"836","85B",5
"837","85B",4
"838","85B",5
"839","86A",2.28571428571429
"840","86A",5
"841","86K",5
"842","86K",4
"843","882",2.42857142857143
"844","882",2.71428571428571
"845","882",5
"846","311",5
"847","311",2.57142857142857
"848","312",5
"849","312",1
"850","312",4.14285714285714
"851","312",2.85714285714286
"852","312",3.71428571428571
"853","312",4.85714285714286
"854","31A",5
"855","31A",5
"856","31B",3.14285714285714
"857","31B",2.42857142857143
"858","31B",5
"859","31B",4
"860","31B",3.28571428571429
"861","31B",4
"862","31K",4
"863","31K",5
"864","31K",4
"865","31K",5
"866","31K",3.57142857142857
"867","31K",5
"868","31K",4.71428571428571
"869","31K",5
"870","31K",4
"871","31K",5
"872","31K",5
"873","31K",4
"874","31L",3.57142857142857
"875","31L",4.28571428571429
"876","31L",4
"877","31L",5
"878","31L",4
"879","31L",5
"880","31L",3
"881","31L",4.14285714285714
"882","31L",5
"883","31L",3.57142857142857
"884","31L",5
"885","31L",3
"886","322",4
"887","322",3.71428571428571
"888","322",5
"889","322",1
"890","322",3.57142857142857
"891","352",4.42857142857143
"892","352",1.57142857142857
"893","352",1
"894","352",3.42857142857143
"895","352",2.57142857142857
"896","352",4
"897","352",4
"898","352",4.28571428571429
"899","352",4
"900","352",5
"901","411",5
"902","411",5
"903","411",4
"904","412",2.57142857142857
"905","412",5
"906","412",5
"907","412",3.14285714285714
"908","412",1
"909","412",4
"910","412",5
"911","412",3.28571428571429
"912","412",5
"913","412",1
"914","412",5
"915","41A",4
"916","41A",5
"917","41A",4
"918","41A",3.71428571428571
"919","41A",2.42857142857143
"920","41A",5
"921","41A",1.85714285714286
"922","41A",1.71428571428571
"923","41B",5
"924","41B",5
"925","41B",3.14285714285714
"926","41B",3.85714285714286
"927","41B",5
"928","431",2.71428571428571
"929","431",5
"930","431",1
"931","431",5
"932","431",3.85714285714286
"933","431",4.57142857142857
"934","431",1
"935","431",4
"936","432",5
"937","432",4.57142857142857
"938","432",1.42857142857143
"939","432",4
"940","432",3
"941","432",5
"942","432",4
"943","432",4
"944","432",1
"945","432",4
"946","43A",5
"947","43A",5
"948","43A",5
"949","43A",3.28571428571429
"950","43A",4
"951","43A",5
"952","43A",2.71428571428571
"953","43B",5
"954","43B",4
"955","43B",5
"956","43B",3.57142857142857
"957","43B",5
"958","43B",3.28571428571429
"959","43B",5
"960","43B",1
"961","43B",4
"962","441",4.42857142857143
"963","441",4
"964","442",3
"965","442",5
"966","442",3.71428571428571
"967","46A",4
"968","47B",5
"969","47B",3.14285714285714
"970","47B",5
"971","47B",1
"972","47B",5
"973","47B",4
"974","47B",2.85714285714286
"975","47B",4
"976","47B",5
"977","47B",5
"978","481",5
"979","611",4
"980","611",3.28571428571429
"981","611",5
"982","61A",4
"983","61A",5
"984","621",5
"985","621",5
"986","621",5
"987","621",3.57142857142857
"988","621",2
"989","622",5
"990","622",3.71428571428571
"991","622",3.85714285714286
"992","622",4
"993","622",5
"994","622",4
"995","62A",2.71428571428571
"996","62A",5
"997","62A",5
"998","631",4
"999","631",5
"1000","631",3.14285714285714
"1001","631",5
"1002","631",5
"1003","631",2.28571428571429
"1004","632",4
"1005","651",5
"1006","651",4
"1007","651",5
"1008","651",3.14285714285714
"1009","652",4
"1010","652",5
"1011","811",5
"1012","812",5
"1013","812",4
"1014","812",5
"1015","812",5
"1016","812",2.42857142857143
"1017","81A",4.85714285714286
"1018","81A",3.57142857142857
"1019","81A",5
"1020","81A",3.14285714285714
"1021","81A",4
"1022","81B",3.71428571428571
"1023","81B",4
"1024","821",1.85714285714286
"1025","821",4.28571428571429
"1026","821",3.57142857142857
"1027","821",4
"1028","821",4
"1029","822",2.42857142857143
"1030","82A",3.57142857142857
"1031","82A",5
"1032","82B",3.85714285714286
"1033","82B",1
"1034","82B",4.14285714285714
"1035","831",4
"1036","831",5
"1037","841",5
"1038","841",3.71428571428571
"1039","841",4
"1040","842",3.57142857142857
"1041","842",4
"1042","842",2.71428571428571
"1043","84B",5
"1044","84K",2.28571428571429
"1045","84K",4
"1046","84K",4
"1047","84K",4
"1048","84K",1.85714285714286
"1049","84K",5
"1050","84K",4
"1051","851",3
"1052","851",2.71428571428571
"1053","852",2.14285714285714
"1054","852",5
"1055","852",5
"1056","852",3.57142857142857
"1057","85A",3
"1058","85A",2.28571428571429
"1059","85A",5
"1060","85B",2.71428571428571
"1061","85B",5
"1062","85B",1.28571428571429
"1063","85B",4
"1064","86A",1
"1065","86A",5
"1066","86A",2.28571428571429
"1067","86A",5
"1068","86A",5
"1069","86L",3
"1070","881",4
"1071","882",2.71428571428571
"1072","882",4
"1073","882",4
"1074","882",2.57142857142857
"1075","882",2.28571428571429
"1076","882",1
"1077","882",3.85714285714286
"1078","882",4
"1079","312",4
"1080","312",3.57142857142857
"1081","312",1
"1082","311",3.42857142857143
"1083","312",5
"1084","312",3.57142857142857
"1085","312",3.14285714285714
"1086","311",4
"1087","311",3.14285714285714
"1088","311",NA
"1089","312",5
"1090","312",4.42857142857143
"1091","322",4
"1092","322",5
"1093","411",2.85714285714286
"1094","412",5
"1095","412",5
"1096","411",2.42857142857143
"1097","412",4
"1098","412",5
"1099","41A",5
"1100","41A",4
"1101","41B",2.71428571428571
"1102","41B",4
"1103","41B",5
"1104","41B",4
"1105","41B",5
"1106","41A",4
"1107","41B",5
"1108","41A",4
"1109","41B",5
"1110","41A",4.71428571428571
"1111","41A",5
"1112","41B",5
"1113","41B",4
"1114","432",5
"1115","432",4
"1116","432",5
"1117","432",5
"1118","431",5
"1119","432",5
"1120","432",5
"1121","432",4.14285714285714
"1122","432",5
"1123","431",3.57142857142857
"1124","431",5
"1125","432",3.85714285714286
"1126","432",3.28571428571429
"1127","432",5
"1128","431",4
"1129","431",1
"1130","442",3.42857142857143
"1131","442",2.42857142857143
"1132","442",2.28571428571429
"1133","442",4
"1134","442",4
"1135","47B",5
"1136","47B",5
"1137","47B",5
"1138","47B",5
"1139","47B",3.71428571428571
"1140","47B",5
"1141","47B",4
"1142","47B",5
"1143","47B",5
"1144","47B",4.28571428571429
"1145","47B",4.28571428571429
"1146","47B",5
"1147","47B",5
"1148","481",4
"1149","481",5
"1150","481",5
"1151","481",5
"1152","46A",5
"1153","46B",4
"1154","46A",3
"1155","612",1
"1156","611",1
"1157","61A",4
"1158","61A",4.85714285714286
"1159","61A",1
"1160","61A",4
"1161","61A",1.71428571428571
"1162","61A",2.28571428571429
"1163","61A",5
"1164","61A",5
"1165","61A",5
"1166","621",5
"1167","622",5
"1168","621",4.28571428571429
"1169","622",5
"1170","622",4
"1171","621",3.42857142857143
"1172","62A",2.42857142857143
"1173","631",5
"1174","631",4
"1175","632",5
"1176","631",5
"1177","632",4
"1178","631",2.71428571428571
"1179","631",5
"1180","632",5
"1181","631",3.57142857142857
"1182","631",4
"1183","631",4
"1184","631",5
"1185","632",2.57142857142857
"1186","631",5
"1187","651",5
"1188","651",3.57142857142857
"1189","651",3.71428571428571
"1190","651",5
"1191","651",4
"1192","651",5
"1193","651",4
"1194","651",5
"1195","651",4
"1196","652",5
"1197","812",3.42857142857143
"1198","812",5
"1199","811",5
"1200","811",3.28571428571429
"1201","812",4
"1202","811",1
"1203","812",5
"1204","81B",5
"1205","822",5
"1206","821",5
"1207","821",4
"1208","822",4.42857142857143
"1209","82B",5
"1210","82A",5
"1211","82A",4
"1212","82A",3
"1213","82A",5
